"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","CLEVELAND, OH"
"Lat (deg N):","41.4"
"Long (deg W):","81.85"
"Elev (m):","245"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","12","6","0","0","6.7","2.1","0","6.7","0","0"
"11","12","7","0","15","6.7","4.1","14.214","5.373","53.406","30.171"
"11","12","8","1","53","5.6","3.6","51.484","5.073","193.54","167.637"
"11","12","9","1","153","6.7","2.6","157.46","8.989","582.349","548.168"
"11","12","10","1","230","6.1","2.6","239.968","10.846","880.369","838.971"
"11","12","11","1","235","6.7","4.1","241.821","10.908","886.939","845.373"
"11","12","12","1","148","6.1","2.1","145.946","8.9","540.025","506.807"
"11","12","13","156","229","8.3","6.7","371.384","13.423","1342.842","1288.747"
"11","12","14","14","155","7.2","4.1","165.33","10.008","608.041","573.268"
"11","12","15","14","79","7.2","3.6","84.08","7.827","310.945","282.678"
"11","12","16","6","36","6.1","3.6","37.817","5.429","140.769","115.89"
"11","12","17","0","1","5.6","3.1","0.97","3.848","3.668","0"
"11","12","18","0","0","5.6","3.1","0","5.6","0","0"
"11","12","19","0","0","4.4","2.1","0","4.4","0","0"
"11","12","20","0","0","4.4","4.6","0","4.4","0","0"
"11","12","21","0","0","3.9","5.2","0","3.9","0","0"
"11","12","22","0","0","3.9","4.6","0","3.9","0","0"
"11","12","23","0","0","3.3","6.2","0","3.3","0","0"
"11","13","0","0","0","3.3","6.2","0","3.3","0","0"
"11","13","1","0","0","3.3","4.1","0","3.3","0","0"
"11","13","2","0","0","3.3","6.7","0","3.3","0","0"
"11","13","3","0","0","3.3","6.2","0","3.3","0","0"
"11","13","4","0","0","3.3","7.2","0","3.3","0","0"
"11","13","5","0","0","2.8","6.7","0","2.8","0","0"
"11","13","6","0","0","2.2","6.7","0","2.2","0","0"
